id	tarea1	tarea2	tarea3	tarea4	tarea5	tarea6	tarea7	tarea8	parcial
1	4.625	4.625	5	4.69	5	4.7	4.6	5	5
2	3.875	4.625	5	4.69	5	4.7	4.6	5	4.41
3	3.45	4.35	3.1	0	3.4	3.7	4.8	5	4.07
4	5	5	4.3	5	4.4	3.9	4.8	5	4.86
5	5	5	4.8	5	5	4.7	5	4.3	4.91
6	4.575	4.35	5	5	4.8	4.2	5	5	4.99
7	5	5	4.8	5	5	4.7	5	4.3	5
8	4.575	4.35	3.6	5	4.8	4.2	5	5	4.31
9	5	4.35	5	5	5	3.8	4.8	5	4.95
10	5	5	4.3	5	4.4	3.9	4.8	5	3.8
11	4.075	3.85	5	5	4.6	3.9	4.1	0	4.58
12	5	4.65	5	5	5	4.1	5	5	4.79
13	4.775	4.8	4.4	5	4.8	4.2	4.1	5	4.71
14	5	5	4.8	4.69	5	4.6	4.8	4	4.62
15	4.575	4.35	3.7	5	5	4.2	5	5	4.38
16	4.575	3.85	4	5	5	4.5	5	5	4.29
17	5	3.625	3.65	3.38	4.3	4.1	5	0	3.35
18	5	5	4.8	4.69	5	4.6	4.8	4	4.77
19	4.2	3.7	4	5	4.8	3	4.8	3.95	3.97
20	4.075	3.475	3.5	4.06	4.3	4.4	4.8	2.9	4.65
21	4.2	3.7	4	5	4.8	3	4.8	3.95	4.39
22	0	3.325	0	0	4.3	4.1	5	0	0
23	3.125	4.35	3	5	5	3.3	4.5	5	3.82
24	5	4.35	5	5	5	3.8	4.8	5	4.04
25	3.125	4.35	3	5	5	3.3	4.5	5	3.73
26	4.075	3.85	5	5	4.6	3.9	4.5	0	5
27	5	4.65	5	5	5	4.1	5	5	4.49
28	4.575	3.85	4	5	5	4.5	4.8	5	4.26
29	4.575	3.475	3.5	4.06	4.3	4.4	4.8	2.9	4.85
30	4.775	4.8	4.4	5	4.8	4.2	4.1	5	4.66
31	4.7	4	4.4	5	4.8	4.6	5	5	4.99
32	4.7	4	4.4	5	4.8	4.6	5	5	4.5
33	0	0	0	0	0	0	0	0	0
34	5	5	5	4.06	4.8	4.8	4.8	5	4.51
35	5	5	5	4.06	4.8	4.8	4.8	5	4.49
