"","school","sex","address","famsize","Pstatus","Mjob","Fjob","reason","guardian","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","df2$w","age","absences","G1","G2","G3"
"1",0,0,1,0,0,"1","2","1","2",1,NA,0,0,1,1,0,0,4,4,2,2,0,4,3,4,1,1,NA,51,17.6666666666667,6.66666666666667,6.52564102564103,5.41025641025641,3.28205128205128
"2",0,0,1,0,1,"1",NA,"1","1",0,NA,0,0,NA,1,1,0,1,1,1,2,0,5,3,3,1,1,3,52,17.6666666666667,6.66666666666667,6.52564102564103,5.41025641025641,3.28205128205128
"3",0,0,1,1,1,"1","1","2","2",NA,NA,1,0,1,1,1,0,NA,NA,1,2,NA,4,3,NA,NA,NA,3,53,15.6666666666667,8,8.17521367521367,6.60683760683761,10.6666666666667
"4",0,0,1,0,1,"1","2","1","2",0,1,1,1,1,1,1,NA,4,2,1,3,0,NA,2,2,1,1,5,59,15,2.66666666666667,15.7820512820513,15.1794871794872,15.3846153846154
"5",0,0,1,0,1,"1",NA,"1","1",0,1,1,0,1,1,0,0,NA,3,1,2,0,4,NA,2,1,2,5,57,16,5.33333333333333,8.17521367521367,10,10.3333333333333
"6",0,1,1,1,1,"2","1","2","2",0,1,1,1,1,1,1,0,4,3,1,2,0,NA,4,2,1,NA,5,43,17,15.0683760683761,15.7820512820513,15.7692307692308,16.0769230769231
"7",0,1,1,1,1,"1","1","1","2",0,NA,0,0,1,1,1,0,2,2,1,2,0,4,NA,4,1,1,NA,42,16,0.666666666666667,13.6666666666667,12.6666666666667,12.6666666666667
"8",0,0,1,0,0,"1","2","1","2",1,1,0,0,1,1,0,0,4,4,2,2,0,4,NA,NA,1,1,1,38,17,4,6.52564102564103,5.41025641025641,3.28205128205128
"9",0,NA,1,1,0,"2","1",NA,"2",0,1,1,0,1,1,1,0,3,2,1,2,0,4,NA,2,1,1,NA,42,15,0.666666666666667,15.7820512820513,15.7692307692308,16.0769230769231
"10",0,1,1,0,NA,"1","1","1","2",0,1,1,1,1,1,1,0,3,4,1,2,0,5,NA,1,1,1,NA,59,15,0,14,15.7692307692308,16.0769230769231
"11",0,0,1,0,1,"2","1","2","2",0,1,1,NA,1,1,1,0,4,4,1,2,0,3,NA,3,1,2,2,51,15.3333333333333,0,8.17521367521367,5.41025641025641,10.3333333333333
"12",0,NA,1,0,1,"2","1",NA,"1",0,1,0,1,1,1,1,0,2,NA,NA,3,0,5,2,NA,1,1,NA,62,15,2.66666666666667,9.66666666666667,12.3333333333333,11.6666666666667
"13",0,1,1,1,1,"1","2","1","1",0,NA,1,1,1,1,1,0,4,4,1,1,0,NA,3,3,1,NA,5,66,15,5.33333333333333,14.5940170940171,13.3333333333333,14.6923076923077
"14",0,1,1,0,1,"2","1","1","2",0,1,1,0,1,1,1,NA,4,3,NA,2,0,5,4,3,NA,NA,3,51,15,1,10.3333333333333,10.6666666666667,11.6666666666667
"15",0,1,1,0,NA,"1","1","1","2",0,1,0,0,1,1,1,NA,2,2,1,NA,0,4,NA,2,1,1,3,41,15,0,14,15.7692307692308,16.0769230769231
"16",0,0,1,0,1,"1","1","1","2",0,1,0,0,1,1,1,0,4,4,1,NA,0,NA,4,4,1,2,NA,45,17,4,15.1880341880342,12.6666666666667,14.3589743589744
"17",0,0,1,0,1,"2",NA,"2","2",0,1,1,1,1,1,1,0,4,4,1,NA,0,3,2,3,1,2,2,49,16,14.4017094017094,11.6666666666667,12.6666666666667,13.3333333333333
"18",0,NA,1,0,1,"1","1","2","2",1,1,0,1,NA,1,0,0,3,3,3,2,0,5,3,NA,1,1,NA,54,17,4,7.50854700854701,10.3333333333333,10
"19",0,1,1,0,1,"2",NA,"1","2",0,1,0,1,1,NA,1,0,3,2,1,1,3,NA,5,NA,NA,4,5,45,17,17.6025641025641,6.52564102564103,5.41025641025641,3.28205128205128
"20",0,1,1,1,1,"1",NA,"1","1",0,0,1,1,1,1,1,0,4,NA,1,1,0,3,NA,3,1,3,5,55,16,6.33333333333333,7.01709401709402,10,10.6666666666667
"21",0,1,1,0,NA,"2","1","2","2",0,0,0,0,1,1,1,0,4,3,1,2,0,4,NA,1,1,1,1,38,15.3333333333333,0,13,15.1794871794872,16.0769230769231
"22",0,1,1,0,1,"1","1","2","1",0,NA,1,0,1,1,1,0,NA,4,1,1,0,5,4,NA,1,1,NA,60,15.3333333333333,0,13,15.1794871794872,16.0769230769231
"23",0,1,1,1,1,"2","1","1","2",0,0,0,1,1,1,1,NA,4,NA,1,2,0,4,5,NA,1,3,5,42,17,1.33333333333333,15.1880341880342,15.7692307692308,15.3846153846154
"24",0,1,1,1,1,"1","1","2","2",0,1,0,1,1,1,1,0,2,2,NA,2,0,NA,4,NA,2,4,5,51,16,0.666666666666667,13.6666666666667,12.6666666666667,12.6666666666667
"25",0,0,0,0,1,"2","1","1","2",1,1,1,1,1,1,1,0,NA,4,1,3,0,4,3,2,1,1,5,53,15,1.66666666666667,11,6.94017094017094,5.18803418803419
"26",0,0,1,0,1,NA,NA,"1","2",0,1,1,0,0,1,1,0,2,2,1,NA,NA,NA,2,NA,1,NA,5,43,16.6666666666667,17.6025641025641,7.01709401709402,8.33333333333333,6.76068376068376
"27",0,1,1,0,1,"1","1","1","2",0,1,NA,0,1,1,1,0,2,2,1,1,0,NA,2,2,1,NA,NA,52,15,5.33333333333333,11.6666666666667,11,10.6666666666667
"28",0,1,1,0,1,"1",NA,"2","2",0,0,1,0,NA,1,1,0,4,2,1,1,0,NA,NA,NA,2,4,NA,56,15,6,15.7820512820513,15.7692307692308,16.0769230769231
"29",0,1,1,NA,0,"2","1","1","2",1,1,NA,1,1,1,1,0,3,4,1,2,0,5,NA,3,1,1,NA,62,16,1.33333333333333,11.6666666666667,10.6666666666667,10.3333333333333
"30",0,1,1,0,1,"2","2","1","2",NA,1,1,1,1,1,1,1,4,4,1,NA,0,4,4,5,5,5,NA,63,16,17.6025641025641,11.3333333333333,12.6666666666667,11
"31",0,1,1,0,1,"1",NA,"1","2",0,1,1,0,0,1,1,0,4,4,1,2,0,NA,4,2,NA,NA,NA,61,15,1,10.3333333333333,10.6666666666667,11.6666666666667
"32",0,1,1,0,1,"2","2","2",NA,0,1,0,1,1,1,1,0,4,4,2,2,0,4,3,NA,1,1,5,60,15,0.666666666666667,15.7820512820513,15.7692307692308,16.0769230769231
"33",0,1,NA,0,1,"2","1","1","2",0,1,0,1,1,1,1,1,4,NA,1,2,0,4,5,2,1,NA,5,47,15,0,15.7820512820513,15.7692307692308,16.0769230769231
"34",0,1,1,NA,1,"1","1","1","2",0,0,0,1,0,1,1,0,3,3,1,2,0,5,3,NA,1,1,NA,43,15,0,6.52564102564103,10,11.6666666666667
"35",0,1,1,0,1,"1","1","1","2",0,1,1,0,0,1,1,0,3,NA,1,1,0,5,4,3,1,NA,5,43,16,0.666666666666667,11.6666666666667,13,14.6923076923077
"36",0,0,1,0,1,"1","1",NA,"1",0,1,NA,NA,1,1,0,0,2,3,2,1,0,3,NA,1,1,NA,NA,58,15,0,7.01709401709402,5.41025641025641,3.28205128205128
"37",0,NA,1,1,1,"2","2","1","2",0,1,0,1,1,1,1,0,4,3,1,NA,0,5,4,3,1,1,NA,51,15,2.66666666666667,15.7820512820513,15.7692307692308,16.0769230769231
"38",0,1,NA,0,0,"1","2","2","2",0,1,0,1,1,1,1,1,4,4,NA,3,0,NA,NA,3,1,1,NA,62,16,7,15.7820512820513,15.7692307692308,16.0769230769231
"39",0,0,0,0,1,"2","1","1","2",1,1,1,1,1,1,1,0,3,4,1,3,0,4,NA,2,1,1,5,40,15,4.66666666666667,13.6666666666667,13.3333333333333,12.6666666666667
"40",0,0,0,0,1,"1","1","2","2",1,1,1,1,1,1,0,0,2,NA,1,1,0,4,3,NA,1,NA,NA,60,15,4.66666666666667,13.6666666666667,13.3333333333333,12.6666666666667
"41",0,0,1,1,1,"1","1","1","2",0,1,0,1,0,1,1,1,2,2,NA,2,1,NA,3,3,1,2,NA,43,17,17.6025641025641,8.17521367521367,9.66666666666667,10.3333333333333
"42",0,1,1,NA,1,"2","1","1","2",0,1,0,NA,0,1,1,NA,4,4,1,1,0,5,NA,3,NA,NA,5,44,15,7.33333333333333,11.3333333333333,12,11.6666666666667
"43",0,1,1,0,1,"2","2",NA,"1",0,1,0,1,1,1,1,0,4,4,NA,2,0,4,3,3,1,1,5,50,15,2.66666666666667,15.7820512820513,15.7692307692308,16.0769230769231
"44",0,1,1,0,1,"2","2","1","1",1,1,0,0,1,1,1,0,NA,2,1,1,0,5,4,NA,1,NA,NA,39,15.3333333333333,0,8.17521367521367,5.41025641025641,10.3333333333333
"45",0,0,1,1,1,"1","1","1",NA,NA,NA,0,1,NA,1,1,NA,2,2,2,2,1,4,3,3,NA,2,5,52,16.3333333333333,17.6025641025641,10.6666666666667,9.66666666666667,9.66666666666667
"46",0,0,1,1,0,"1","1","1","2",1,NA,1,1,1,1,1,1,NA,3,1,2,0,5,NA,2,1,1,NA,61,15.3333333333333,7.33333333333333,6.52564102564103,5.41025641025641,3.28205128205128
"47",0,0,1,1,0,"1",NA,"1","2",0,1,0,0,1,1,1,0,3,NA,1,2,0,NA,3,NA,1,NA,NA,38,16,17.6025641025641,11.3333333333333,12.6666666666667,11
"48",0,1,1,0,1,"1","2","2","2",0,0,0,1,1,1,1,0,NA,3,1,NA,0,4,NA,NA,NA,1,NA,45,16,7,15.7820512820513,15.7692307692308,16.0769230769231
"49",0,1,1,0,1,"2","1","1","2",0,1,1,NA,1,1,NA,0,4,NA,1,2,0,4,3,3,2,NA,5,49,15,2.66666666666667,15.7820512820513,15.1794871794872,15.3846153846154
"50",0,0,1,0,1,"2",NA,"2","1",1,1,0,1,0,1,1,NA,4,4,1,2,1,4,4,4,1,1,NA,51,15,4.33333333333333,7.01709401709402,5.41025641025641,3.28205128205128
"51",0,0,1,1,1,"2","2","1","2",0,NA,1,0,1,1,1,0,2,2,NA,2,0,4,3,3,NA,3,4,56,16,1.33333333333333,13,12.6666666666667,13
"52",0,0,1,1,1,NA,"1","2","2",0,1,1,0,1,1,1,0,4,2,1,2,0,4,NA,3,1,1,NA,43,15,3,10.6666666666667,13.6666666666667,13.6666666666667
"53",NA,1,1,NA,0,"1","1",NA,"1",0,0,0,0,1,1,0,0,4,2,2,1,1,5,NA,NA,NA,4,5,51,15,7.33333333333333,11.3333333333333,12,11.6666666666667
"54",0,0,1,0,1,"2","2","1","2",1,1,1,NA,1,1,1,0,4,4,1,NA,0,NA,NA,4,NA,3,5,49,15,0,6.52564102564103,10,11.6666666666667
"55",0,0,1,1,NA,"1","1","2","2",0,0,1,0,1,1,1,0,3,NA,NA,NA,0,NA,NA,4,NA,NA,1,42,15,6.33333333333333,10.3333333333333,13,13.6666666666667
"56",0,0,1,0,NA,"1","1","2","2",0,0,1,NA,1,1,1,1,2,NA,1,2,0,5,NA,4,1,1,NA,45,16,6.33333333333333,7.01709401709402,10,10.6666666666667
"57",0,0,1,0,NA,"2","2","2","2",0,NA,1,1,1,1,1,0,4,3,1,2,0,NA,3,2,1,1,1,47,15,0,14,15.7692307692308,16.0769230769231
"58",0,1,1,0,1,"2",NA,"2","2",0,1,0,1,1,1,NA,0,4,4,NA,2,0,NA,NA,2,1,1,5,51,15.3333333333333,4.66666666666667,13.3333333333333,14.8461538461538,15.3846153846154
"59",0,NA,1,1,1,"1","1",NA,"1",1,1,0,1,1,1,1,0,1,2,1,2,0,4,NA,2,1,1,NA,56,15,2,8.17521367521367,10.6666666666667,10
"60",0,0,1,0,1,"2","1","1","2",0,1,0,0,1,1,1,0,4,NA,1,2,0,4,2,NA,NA,1,5,63,16,1.33333333333333,15.1880341880342,15.7692307692308,16.0769230769231
"61",0,0,0,0,1,NA,"2","2",NA,0,1,0,1,1,1,0,0,4,4,1,2,0,NA,4,NA,2,3,NA,41,16,5.33333333333333,10,12.3333333333333,12.3333333333333
"62",0,NA,1,0,1,"2","2","1","1",1,1,0,NA,NA,1,1,NA,NA,NA,NA,1,0,5,5,5,5,NA,5,46,15.6666666666667,8,8.17521367521367,6.60683760683761,10.6666666666667
"63",0,0,1,1,1,"1",NA,"2","1",1,NA,0,1,1,1,1,0,1,2,1,2,NA,4,4,NA,1,1,1,47,16,6.33333333333333,7.01709401709402,10,10.6666666666667
"64",0,0,1,0,1,"2",NA,"1","2",1,1,1,1,1,1,1,0,4,NA,1,3,0,3,4,NA,2,NA,NA,56,16,1.33333333333333,9.33333333333333,9.33333333333333,10
"65",0,0,1,1,1,NA,NA,"2","1",NA,0,0,1,1,1,1,1,4,3,1,2,0,4,4,NA,NA,NA,NA,44,15,0.666666666666667,9.66666666666667,10.6666666666667,10.6666666666667
"66",0,0,1,1,1,"2","2","1","2",0,1,0,1,1,1,1,0,NA,3,NA,2,0,5,4,3,1,NA,1,52,16,1.33333333333333,15.1880341880342,15.7692307692308,16.0769230769231
"67",0,1,1,0,0,"1","2","2","2",0,1,0,1,NA,1,1,1,4,4,1,NA,0,NA,3,3,NA,NA,3,47,15,4.66666666666667,13.6666666666667,13.3333333333333,12.6666666666667
"68",0,0,1,0,1,"2","1","1","2",1,1,1,0,1,1,1,0,3,1,1,NA,0,4,3,NA,1,2,NA,52,16,2.66666666666667,6.52564102564103,5.41025641025641,3.28205128205128
"69",0,0,NA,1,1,NA,"2",NA,"2",NA,1,1,0,1,1,1,0,2,2,2,2,0,4,NA,3,1,3,4,52,15.3333333333333,0.666666666666667,7.35042735042735,10,3.28205128205128
"70",0,0,0,1,1,NA,"1","2",NA,0,1,NA,0,NA,1,NA,0,3,1,2,4,0,4,NA,2,NA,NA,NA,48,15.6666666666667,15.0683760683761,15.7820512820513,15.7692307692308,16.0769230769231
"71",0,NA,1,0,1,"1","1","2","1",0,1,1,0,1,1,1,0,3,NA,NA,4,0,4,3,NA,1,1,NA,39,16,1.33333333333333,12.6666666666667,15.7692307692308,16.0769230769231
"72",0,1,1,NA,1,"1","1","1","2",0,0,0,0,1,1,1,0,4,2,1,NA,0,3,3,NA,1,1,3,52,15,1,10.3333333333333,10.6666666666667,11.6666666666667
"73",0,0,NA,0,1,"1","1",NA,"2",NA,NA,0,0,0,1,1,1,1,1,1,2,2,NA,3,NA,NA,NA,NA,52,15,4.33333333333333,7.01709401709402,5.41025641025641,3.28205128205128
"74",0,1,1,0,1,"1","1","2","2",0,0,0,1,1,1,NA,0,3,NA,1,NA,0,5,3,NA,NA,NA,NA,58,16,0.666666666666667,11.6666666666667,13,14.6923076923077
"75",0,0,1,0,1,"1","2","1","2",NA,1,1,1,1,1,1,0,3,3,1,2,0,4,3,NA,2,NA,5,51,16,17.6025641025641,11.3333333333333,12.6666666666667,11
"76",0,1,1,0,1,"2","1","1","2",0,1,1,1,1,1,1,0,4,3,1,2,0,NA,3,3,2,3,NA,46,15.3333333333333,8.33333333333333,9.66666666666667,9.33333333333333,10
"77",0,1,1,0,1,"2",NA,"1","2",0,0,0,1,1,1,1,0,4,NA,2,NA,0,3,NA,NA,1,1,NA,48,15,5.33333333333333,11.6666666666667,11,10.6666666666667
"78",0,0,1,0,1,"1","1","2","2",0,0,1,0,1,1,1,1,2,2,1,NA,0,5,2,NA,1,3,NA,49,16,0.666666666666667,12,12,11.3333333333333
"79",0,1,1,0,1,"1","1","1","2",NA,1,0,NA,1,NA,1,0,2,1,NA,1,3,NA,NA,1,1,NA,NA,48,17,2,7.50854700854701,5.41025641025641,9.33333333333333
"80",0,0,1,0,1,"1","1","1","2",0,1,0,0,1,1,1,0,NA,4,1,2,0,2,NA,NA,1,2,3,56,16,17.6025641025641,7.84188034188034,5.41025641025641,3.28205128205128
"81",0,1,1,0,1,NA,"2","1","1",1,1,NA,1,0,1,1,1,2,3,1,1,0,NA,NA,NA,NA,NA,NA,60,15,2.66666666666667,9.66666666666667,12.3333333333333,11.6666666666667
"82",0,NA,1,0,1,"1","1","1","2",1,NA,1,0,NA,1,1,0,NA,3,1,3,0,5,3,2,1,NA,NA,53,15,5.33333333333333,11.6666666666667,11,10.6666666666667
"83",0,0,1,1,NA,"2","1","2","2",0,1,1,0,1,1,1,0,NA,2,1,2,0,4,4,NA,1,1,5,30,15,4.33333333333333,7.01709401709402,5.41025641025641,3.28205128205128
"84",0,NA,1,1,1,"2","2","1","2",0,0,1,NA,1,1,1,0,2,2,2,2,0,NA,3,3,1,3,4,47,15,2.66666666666667,15.7820512820513,15.1794871794872,15.3846153846154
"85",0,0,1,0,1,"1","1","1","1",0,1,0,NA,0,1,1,0,1,1,1,2,0,NA,3,NA,NA,NA,NA,45,15,2,8.17521367521367,10.6666666666667,10
"86",0,NA,1,0,1,"2","2","2","1",0,NA,1,0,1,1,1,1,4,4,2,2,2,4,NA,4,NA,NA,5,53,15.3333333333333,5.66666666666667,6.52564102564103,9.66666666666667,5.52136752136752
"87",0,NA,1,1,1,"1","1","1","2",0,1,0,0,1,1,NA,0,2,2,1,2,0,4,3,4,1,NA,2,50,16.6666666666667,1.33333333333333,8.66666666666667,6.27350427350427,3.28205128205128
"88",0,0,1,0,1,"1","1","2","2",0,1,NA,NA,1,1,1,0,4,2,1,3,0,NA,3,3,1,3,NA,49,15.3333333333333,4.66666666666667,13.3333333333333,14.8461538461538,15.3846153846154
"89",0,NA,1,0,1,"2","1","2","1",0,0,1,1,0,1,1,0,2,2,2,2,NA,4,4,NA,1,1,NA,53,16.3333333333333,17.6025641025641,10.6666666666667,9.66666666666667,9.66666666666667
"90",0,1,1,1,0,"2","1","2","2",0,1,0,0,1,1,NA,0,4,NA,1,2,0,4,NA,NA,NA,NA,NA,72,16,17.6025641025641,7.84188034188034,5.41025641025641,3.28205128205128
"91",0,0,1,0,1,"1","1","1","2",0,1,1,NA,1,1,1,1,3,3,1,3,0,4,NA,3,1,3,4,50,16,2.66666666666667,6.52564102564103,5.41025641025641,3.28205128205128
"92",0,0,1,0,1,"2","1","2","2",0,0,1,1,1,1,1,0,4,3,1,NA,0,4,NA,NA,1,NA,1,52,15,2.66666666666667,15.7820512820513,15.7692307692308,16.0769230769231
"93",0,0,1,1,1,"1","1","1","1",NA,1,0,0,1,1,NA,0,NA,NA,1,2,0,NA,3,NA,NA,3,2,40,16,2.66666666666667,6.52564102564103,5.41025641025641,3.28205128205128
"94",0,0,1,0,1,"2","2","1","2",0,1,1,1,1,1,1,0,NA,2,2,2,0,5,3,3,1,NA,1,56,16,1.33333333333333,11.6666666666667,10.6666666666667,10.3333333333333
"95",0,1,1,1,1,NA,"1","2","2",0,1,0,1,1,1,1,0,2,2,1,4,0,4,3,NA,NA,NA,NA,57,15,6.33333333333333,10.3333333333333,13,13.6666666666667
"96",0,0,NA,0,1,"1","1","1","2",1,1,1,NA,1,1,1,0,1,NA,NA,4,NA,NA,1,2,1,1,NA,41,15,2,8.17521367521367,10.6666666666667,10
"97",0,1,0,0,1,"2","1","2","2",NA,1,0,1,NA,1,1,0,NA,NA,NA,1,0,NA,3,3,1,1,NA,43,16,1.33333333333333,12.6666666666667,15.7692307692308,16.0769230769231
"98",0,0,1,0,1,"1","1","1","2",0,1,NA,0,1,1,0,1,2,1,1,2,0,4,NA,5,1,1,NA,63,16,1.33333333333333,9.33333333333333,9.33333333333333,10
"99",0,0,1,0,1,"1","1",NA,"2",0,0,0,1,0,1,1,0,NA,NA,1,NA,0,5,3,4,1,2,NA,51,16.3333333333333,6.66666666666667,11.3333333333333,14.2564102564103,14.3589743589744
